date,sku,product,quantity,unit_price,unit_cost
2026-01-01,SKU001,Wireless Mouse,2,25,12
2026-01-01,SKU002,Mechanical Keyboard,1,95,55
2026-01-02,SKU003,USB-C Hub,3,45,22
2026-01-02,SKU004,27in Monitor,1,320,210
2026-01-03,SKU005,Laptop Stand,2,40,18
2026-01-03,SKU006,Noise Cancelling Headphones,1,210,140
2026-01-04,SKU001,Wireless Mouse,4,25,12
2026-01-04,SKU003,USB-C Hub,2,45,22
2026-01-05,SKU007,External SSD 1TB,1,160,95
2026-01-05,SKU002,Mechanical Keyboard,2,95,55
2026-01-06,SKU008,Webcam HD,3,70,40
2026-01-06,SKU009,Gaming Mousepad,2,20,8
2026-01-07,SKU005,Laptop Stand,1,40,18
2026-01-07,SKU010,Bluetooth Speaker,2,85,50
2026-01-08,SKU004,27in Monitor,1,320,210
2026-01-08,SKU001,Wireless Mouse,3,25,12
2026-01-09,SKU008,Webcam HD,2,70,40
2026-01-09,SKU003,USB-C Hub,1,45,22
2026-01-10,SKU006,Noise Cancelling Headphones,1,210,140
2026-01-10,SKU007,External SSD 1TB,2,160,95